"Time (s) Run #1","Angle, Ch P2 (rad) Run #1","Angular Velocity, Ch P2 (rad/s) Run #1","State Run #1"
27.650,-2.490,-8.273,
27.700,-2.882,-7.896,
27.750,-3.269,-7.802,
27.800,-3.658,-7.833,
27.850,-4.054,-7.781,
27.900,-4.447,-7.430,
27.950,-4.814,-6.618,
28.000,-5.127,-5.315,
28.050,-5.360,-3.623,
28.100,-5.496,-1.754,
28.150,-5.532,0.052,
28.200,-5.481,1.581,
28.250,-5.360,2.712,
28.300,-5.195,3.414,
28.350,-5.005,3.712,
28.400,-4.811,3.686,
28.450,-4.629,3.430,
28.500,-4.464,3.042,
28.525,,,1.00
28.550,-4.323,2.602,
28.600,-4.205,2.178,
28.619,,,0.00
28.650,-4.108,1.812,
28.700,-4.026,1.503,
28.750,-3.958,1.230,
28.800,-3.903,0.969,
28.850,-3.861,0.691,
28.900,-3.833,0.361,
28.950,-3.822,-0.052,
29.000,-3.834,-0.581,
29.050,-3.875,-1.251,
29.100,-3.954,-2.073,
29.150,-4.078,-3.016,
29.200,-4.254,-3.990,
29.250,-4.480,-4.849,
29.300,-4.749,-5.393,
29.350,-5.038,-5.414,
29.400,-5.314,-4.739,
29.450,-5.539,-3.335,
29.500,-5.669,-1.335,
29.550,-5.683,1.005,
29.582,,,1.00
29.600,-5.570,3.388,
29.650,-5.336,5.519,
29.678,,,0.00
29.700,-5.000,7.142,
29.750,-4.598,8.105,
29.800,-4.166,8.430,
29.850,-3.738,8.283,
29.900,-3.330,7.901,
29.950,-2.948,7.508,
30.000,-2.586,7.247,
30.050,-2.231,7.199,
30.100,-1.874,7.362,
30.150,-1.500,7.676,
30.200,-1.107,7.995,
30.250,-0.694,8.095,
30.300,-0.281,7.734,
30.350,0.102,6.723,
30.400,0.416,5.032,
30.450,0.625,2.833,
30.500,0.705,0.461,
30.550,0.663,-1.712,
30.600,0.517,-3.382,
30.639,,,1.00
30.650,0.300,-4.377,
30.700,0.053,-4.639,
30.731,,,0.00
30.750,-0.187,-4.236,
30.800,-0.388,-3.304,
30.850,-0.529,-2.016,
30.900,-0.595,-0.565,
30.950,-0.584,0.885,
31.000,-0.503,2.194,
31.050,-0.357,3.246,
31.100,-0.165,3.911,
31.150,0.052,4.058,
31.200,0.262,3.597,
31.250,0.434,2.524,
31.300,0.533,0.953,
31.350,0.539,-0.895,
31.400,0.443,-2.749,
31.450,0.254,-4.356,
31.500,-0.008,-5.503,
31.550,-0.317,-6.053,
31.600,-0.636,-5.985,
31.650,-0.933,-5.404,
31.696,,,1.00
31.700,-1.188,-4.477,
31.750,-1.387,-3.346,
31.789,,,0.00
31.800,-1.525,-2.100,
31.850,-1.599,-0.796,
31.900,-1.605,0.550,
31.950,-1.546,1.937,
32.000,-1.414,3.362,
32.050,-1.210,4.791,
32.100,-0.933,6.131,
32.150,-0.589,7.210,
32.200,-0.195,7.755,
32.250,0.215,7.477,
32.300,0.589,6.210,
32.350,0.870,3.995,
32.400,1.013,1.110,
32.450,0.990,-2.021,
32.500,0.803,-4.932,
32.550,0.474,-7.205,
32.600,0.049,-8.571,
32.650,-0.418,-8.974,
32.700,-0.877,-8.592,
32.750,-1.293,-7.739,
32.751,,,1.00
32.800,-1.654,-6.713,
32.845,,,0.00
32.850,-1.962,-5.728,
32.900,-2.221,-4.890,
32.950,-2.444,-4.225,
33.000,-2.639,-3.733,
33.050,-2.812,-3.414,
33.100,-2.974,-3.283,
33.150,-3.134,-3.372,
33.200,-3.302,-3.697,
33.250,-3.495,-4.252,
33.300,-3.721,-4.990,
33.350,-3.990,-5.807,
33.400,-4.304,-6.550,
33.450,-4.654,-7.001,
33.500,-5.022,-6.932,
33.550,-5.372,-6.168,
33.600,-5.666,-4.650,
33.650,-5.861,-2.482,
33.700,-5.928,0.110,
33.750,-5.854,2.827,
