"Time (s) Run #4","Angle, Ch P2 (rad) Run #4","Angular Velocity, Ch P2 (rad/s) Run #4","State Run #4"
16.600,-2.644,-8.181,
16.620,-2.805,-7.671,
16.640,-2.953,-6.990,
16.660,-3.087,-6.126,
16.672,,,0.00
16.680,-3.201,-5.105,
16.700,-3.292,-3.940,
16.720,-3.360,-2.670,
16.740,-3.401,-1.322,
16.760,-3.413,0.065,
16.780,-3.398,1.427,
16.800,-3.355,2.762,
16.820,-3.288,4.058,
16.840,-3.192,5.275,
16.860,-3.074,6.375,
16.880,-2.936,7.343,
16.900,-2.779,8.168,
16.920,-2.606,8.810,
16.940,-2.424,9.268,
16.960,-2.234,9.556,
16.980,-2.039,9.687,
17.000,-1.844,9.673,
17.020,-1.651,9.543,
17.040,-1.461,9.307,
17.060,-1.277,8.993,
17.080,-1.101,8.626,
17.100,-0.931,8.234,
17.120,-0.771,7.828,
17.140,-0.619,7.409,
17.160,-0.474,7.003,
17.180,-0.339,6.610,
17.200,-0.210,6.244,
17.220,-0.090,5.890,
17.240,0.025,5.550,
17.260,0.132,5.236,
17.280,0.234,4.935,
17.300,0.330,4.647,
17.320,0.419,4.372,
17.340,0.504,4.123,
17.360,0.584,3.888,
17.380,0.660,3.665,
17.400,0.730,3.456,
17.420,0.798,3.259,
17.440,0.861,3.089,
17.460,0.920,2.958,
17.480,0.979,2.867,
17.500,1.035,2.814,
17.520,1.090,2.788,
17.540,1.147,2.801,
17.560,1.202,2.854,
17.580,1.260,2.945,
17.600,1.319,3.076,
17.620,1.382,3.233,
17.640,1.448,3.430,
17.658,,,1.00
17.660,1.519,3.665,
17.680,1.594,3.927,
17.700,1.676,4.202,
17.720,1.762,4.477,
17.737,,,0.00
17.740,1.855,4.752,
17.760,1.953,5.027,
17.780,2.056,5.275,
17.800,2.165,5.498,
17.820,2.276,5.668,
17.840,2.392,5.773,
17.860,2.509,5.799,
17.880,2.625,5.733,
17.900,2.739,5.576,
17.920,2.849,5.315,
17.940,2.953,4.961,
17.960,3.049,4.516,
17.980,3.135,3.966,
18.000,3.209,3.312,
18.020,3.269,2.579,
18.040,3.313,1.806,
18.060,3.341,0.995,
18.080,3.354,0.157,
18.100,3.347,-0.707,
18.120,3.325,-1.571,
18.140,3.285,-2.409,
18.160,3.228,-3.207,
18.180,3.156,-3.966,
18.200,3.069,-4.686,
18.220,2.967,-5.341,
18.240,2.854,-5.917,
18.260,2.730,-6.401,
18.280,2.597,-6.807,
18.300,2.457,-7.134,
18.320,2.311,-7.383,
18.340,2.160,-7.553,
18.360,2.007,-7.645,
18.380,1.854,-7.684,
18.400,1.700,-7.684,
18.420,1.546,-7.645,
18.440,1.393,-7.592,
18.460,1.243,-7.540,
18.480,1.092,-7.501,
18.500,0.942,-7.461,
18.520,0.793,-7.435,
18.540,0.646,-7.448,
18.560,0.496,-7.514,
18.580,0.346,-7.618,
18.600,0.192,-7.749,
18.620,0.036,-7.919,
18.640,-0.124,-8.142,
18.660,-0.289,-8.417,
18.680,-0.460,-8.718,
18.700,-0.638,-9.032,
18.720,-0.822,-9.372,
18.723,,,1.00
18.740,-1.012,-9.726,
18.760,-1.211,-10.066,
18.780,-1.415,-10.354,
18.800,-1.626,-10.564,
18.802,,,0.00
18.820,-1.839,-10.668,
18.840,-2.055,-10.629,
18.860,-2.267,-10.433,
18.880,-2.474,-10.053,
18.900,-2.672,-9.464,
18.920,-2.856,-8.652,
18.940,-3.021,-7.658,
18.960,-3.164,-6.506,
18.980,-3.283,-5.210,
19.000,-3.374,-3.796,
19.020,-3.435,-2.317,
19.040,-3.467,-0.825,
19.060,-3.468,0.654,
19.080,-3.440,2.107,
19.100,-3.383,3.508,
19.120,-3.299,4.804,
19.140,-3.189,5.956,
19.160,-3.058,6.951,
19.180,-2.909,7.789,
